SYN_RSA_Pre,SYN_RSA_Post1,SYN_RSA_Post2,SYN_CMJ_Pre,SYN_CMJ_Post1,SYN_CMJ_Post2,SYN_DOMS_Pre,SYN_DOMS_Post1,SYN_DOMS_Post2,RSA_Pre,RSA_Post1,RSA_Post2,CMJ_Pre,CMJ_Post1,CMJ_Post2,DOMS_Pre,DOMS_Post1,DOMS_Post2
5.51,5.47,5.81,43.5,35.1,30.2,0.4,4.5,2,5.79,5.74,5.81,42.5,40.7,39.7,0.3,4.9,1
5.73,5.47,5.73,40.1,42.5,46.8,0,0.8,0.5,5.1,4.87,5.09,40.7,33.3,35.1,0.1,1.5,1.2
4.63,4.53,4.66,33.6,24.2,30.2,0.2,1.5,0.2,5.71,5.45,5.57,38.5,34.6,34.8,0.2,1.6,0
5.22,5.12,5.09,48.3,34.6,34.8,0.1,1.4,0.3,5.61,5.38,5.43,48.3,44.3,46.8,0.3,0.5,0
5.51,5.04,5.6,42.5,43,46.8,0,1.8,0.6,5.51,5.38,5.49,39.8,37.1,37.4,0.4,4.5,0.6
5.25,5.04,5.46,39.8,43,37.4,0,2.4,0.7,5.25,5.12,5.16,33.9,31.3,33.6,0,1.7,0.2
5.51,5.74,5.43,42.6,40.7,46.8,0.4,4.9,1.9,5.73,5.45,5.6,47.1,42.5,47.1,0.1,6,1.9
4.77,4.54,4.62,32.8,32.2,34.8,0,1.9,0.3,4.98,5.04,5.1,37.7,35,35.8,0.2,5.2,0.5
5.22,5.74,5.39,42.6,37.1,37.4,0.4,0.5,0,5.59,5.47,5.46,40.1,35.1,35.7,0.3,3.5,0.7
4.63,4.14,4.2,30.3,28.7,30.7,0.2,0.8,0,5.22,5.12,5.25,43.5,43,46.8,0.4,0.8,0
4.16,4.48,4.53,30.3,30.9,35.9,0,1.8,0.3,5.75,5.66,5.73,44.4,37.7,43,0.1,2.3,2
4.63,4.14,4.66,30.3,32.2,35.1,0.2,1.9,0.4,4.33,4.14,4.2,32.4,30.9,30.7,0,1.8,0
5.61,5.47,5.43,33.9,28.7,35.9,0.4,4.5,0.8,4.39,4.14,3.99,30.3,31.5,30.2,0.1,5.8,5.2
5.73,5.04,5.16,47.1,35.1,35.7,0.4,1.4,0.3,4.63,4.14,4.54,29.9,28.7,28.3,0.2,0.8,0
5.1,5.74,5.46,38.5,35.1,33.3,0.4,4.5,0.7,4.73,4.65,4.62,42.6,40.1,39,0.4,3.1,0.3
5.51,5.12,5.57,43.5,43,43,0.4,4.5,0.3,4.65,4.36,4.54,25.9,24.9,24.3,0,1.5,0.4
4.63,4.14,4.6,32.8,32.2,35.7,0,5.3,5.2,4.6,4.48,4.53,33.6,30.5,33.3,0,1.4,0.6
5.22,5.38,5.39,37.7,40.1,37.4,0.4,1.7,0,4.63,4.28,4.6,28.3,20,27,0.2,5.3,2.8
5.51,5.12,4.62,40.7,42.5,46.8,0.4,1.6,0,4.77,4.53,4.02,32.8,31.8,31.5,0.3,2.4,0.8
4.73,4.36,4.6,29.9,31.5,25.9,0.1,1.9,0.5,4.16,4.12,4.66,26.2,24.2,25.9,0.4,2,0.3
4.63,4.28,4.02,32.4,30.5,30.2,0.1,2,0,4.66,4.41,4.63,28,23.9,24.6,0,1.9,0.5
4.98,5.04,5.49,40.7,37.7,46.8,0.2,1.8,0.6,4.63,4.54,5.39,34,32.2,35.9,0.1,1.6,0.3
