id,f_b,odometer,game_time,high_speed_running,acc_efforts_3,total_accel_load,att_rucks_hit
SZTLXMD,Forward,4401.02,55,85.23,4,1355.33,17
PLGGGQE,Forward,7322.77,75,375.49,13,2256.87,18
GGDXOLH,Forward,795.59,3,132.68,2,231.65,0
PUINRUW,Forward,6652.39,80,420.55,17,2217.25,23
RMBPISX,Forward,4074.43,53,144.48,8,1458.98,12
AURYDCY,Back,5781.2,80,521.88,21,1740.91,5
SZTLXMD,Forward,3659.58,54,149,4,1192.66,18
AYORETW,Forward,5748.52,80,452.56,25,2055.69,21
TVRZJIB,Forward,3462.65,30,0,2,1028.39,21
ETQBCJH,Forward,2914.83,30,149,3,731.55,9
MCHPZKH,Back,7601.69,80,1053.08,27,2568.94,11
AURYDCY,Back,6371.84,75,279.48,11,1940.77,5
DEFUHXZ,Back,6647.04,80,829.89,25,2095.32,2
SMWSGNX,Forward,5702.27,80,155.96,8,1884.02,28
BVULURV,Forward,4173.91,59,399.49,15,1450.55,11
OBPCGCM,Back,6548.72,72,652.72,25,2022.71,2
SYYFQJM,Forward,4761.47,67,73.42,4,1337.74,10
VGEDYZM,Forward,1931.64,25,123.4,2,681.88,10
AHRFGEN,Forward,4167.57,57,257.56,5,1351.62,16
SJZDAPB,Back,5626.83,60,464.83,22,1931.43,10
AYORETW,Forward,2452.82,28,217.49,10,818.65,12
AHRFGEN,Forward,7083.46,80,334.54,11,2133.15,17
EGWTSYC,Back,3515.76,40,368.96,15,1192.66,0
DEFUHXZ,Back,6830.77,80,581.46,19,2232.94,5
GTRUQWY,Back,4664.99,52,514.61,13,1458.98,5
MHKTFBW,Forward,2219.21,26,69.04,2,735.33,18
JJMNQSB,Forward,2067.67,25,228.94,8,795.98,9
NUWHRPG,Forward,7175.15,80,314.27,12,2204.35,25
AURYDCY,Back,982.19,8,174.79,16,326.22,2
ZUYHYID,Forward,5732.38,72,89.98,6,1884.02,28
SMWSGNX,Forward,5702.27,80,190.54,2,1831.45,26
BVULURV,Forward,4648.7,70,290.91,5,1458.98,12
SMWSGNX,Forward,2376.76,28,75.65,4,749.05,10
SMWSGNX,Forward,4094.89,59,75.65,4,1302.35,24
SMWSGNX,Forward,5702.27,80,114.9,7,1911.02,25
BOJDBVY,Back,4899.57,52,619.66,7,1735.17,3
PHGASBO,Back,6459.33,71,801.61,19,1662.37,9
MCHPZKH,Back,7601.69,80,1194.87,33,2486.14,15
AYORETW,Forward,5290.09,76,544.14,29,1658.6,19
OIPGSUM,Forward,5657.15,60,89.98,8,1911.02,19
MSUGKTX,Back,4167.57,52,619.66,20,1495.02,3
AURYDCY,Back,5668.58,75,547.49,14,1854.23,5
PDAYGVM,Back,4486.01,52,572.7,25,1302.35,6
VGEDYZM,Forward,2061.7,24,94.18,2,704.82,17
MCHPZKH,Back,3249.5,10,382.39,25,1003.13,5
TQUJTZE,Back,1989.61,20,239.99,12,684.27,0
EGWTSYC,Back,4904.57,67,692.95,28,1563.88,8
BVULURV,Forward,6258.59,80,347.17,14,1740.91,19
MCHPZKH,Back,1601.53,13,178.59,8,384.25,2
EGWTSYC,Back,7827.9,80,924.15,27,2255.39,6
ZTYAIQB,Back,7551.91,80,589.77,11,2080.65,7
ZTYAIQB,Back,1481.58,16,217.49,3,509.35,0
SZTLXMD,Forward,4334.15,54,97.64,4,1251.57,11
AYORETW,Forward,5748.52,80,439.24,24,1932.36,21
GGDXOLH,Forward,3462.65,20,359.27,12,1192.66,7
PLGGGQE,Forward,6195.67,80,194.31,6,2084.43,33
GGDXOLH,Forward,795.59,8,190,10,259.54,1
HTSZLEH,Forward,4776.57,67,171.89,3,1432.29,15
EGWTSYC,Back,5366.94,70,769.91,30,1835.57,6
BVULURV,Forward,6417.05,80,313.99,12,1900.14,19
TQUJTZE,Back,2891.85,32,73.07,5,1003.13,0
MHKTFBW,Forward,825.77,8,69.04,1,325.57,2
BVULURV,Forward,5196.77,59,255.08,12,1563.88,17
TVRZJIB,Forward,6299.49,80,147.22,3,1932.36,27
MSUGKTX,Back,5679.94,80,279.48,6,1835.57,3
PLGGGQE,Forward,6273.7,80,334.54,10,2053.03,20
EGWTSYC,Back,5350.04,59,659.65,14,1831.45,7
MCHPZKH,Back,6877.61,80,1194.87,24,2162.68,8
SZTLXMD,Forward,1719.39,24,83.44,7,485.03,17
ZTYAIQB,Back,6923.97,80,589.77,8,1952.66,5
NUWHRPG,Forward,6695.73,80,314.27,15,2113.42,24
SJZDAPB,Back,1917.39,27,96.04,1,707.16,0
JMWPVEN,Forward,5343.15,59,226.39,6,1803.51,11
RMBPISX,Forward,5149.28,63,223.27,7,1729.07,27
JTSZXFZ,Back,1481.58,17,105.54,3,485.03,1
SZTLXMD,Forward,5206.61,63,183.27,6,1803.51,12
AYORETW,Forward,5646.75,80,515.74,18,2111.23,21
OIPGSUM,Forward,5909.98,70,128.79,4,1831.45,14
JTSZXFZ,Back,836.22,8,64.13,4,304.35,0
TQUJTZE,Back,6085.84,67,427.67,25,2055.7,5
SYYFQJM,Forward,5161.58,70,113.22,7,1735.17,17
HTSZLEH,Forward,951.16,9,31.94,2,259.08,2
